Time,MPD,LN-MPD
2014-7-30 10:30,675,6.514712691
2014-7-30 14:30,641,6.463029457
2014-7-30 18:30,553,6.315358002
2014-7-30 22:30,445,6.098074282
2014-7-31 2:30,356,5.874930731
2014-7-31 6:30,443,6.09356977
2014-7-31 10:30,300,5.703782475
2014-7-31 14:30,539,6.289715571
2014-7-31 18:30,629,6.444131257
2014-7-31 22:30,642,6.464588304
2014-8-1 2:30,370,5.913503006
2014-8-1 6:30,398,5.986452005
2014-8-1 10:30,433,6.070737728
2014-8-1 14:30,350,5.857933154
2014-8-1 18:30,439,6.084499413
2014-8-1 22:30,394,5.976350909
2014-8-2 2:30,398,5.986452005
2014-8-2 6:30,456,6.12249281
2014-8-2 10:30,492,6.198478716
2014-8-2 14:30,415,6.02827852
2014-8-2 18:30,470,6.152732695
2014-8-2 22:30,424,6.049733455
2014-8-3 2:30,426,6.054439346
2014-8-3 6:30,527,6.267200549
2014-8-3 10:30,495,6.204557763
2014-8-3 14:30,483,6.180016654
2014-8-3 18:30,545,6.300785795
2014-8-3 22:30,546,6.302618976
2014-8-4 2:30,536,6.284134161
2014-8-4 6:30,528,6.269096284
2014-8-4 10:30,464,6.139884552
2014-8-4 14:30,667,6.502790046
2014-8-4 18:30,667,6.502790046
2014-8-4 22:30,557,6.32256524
2014-8-5 2:30,394,5.976350909
2014-8-5 6:30,317,5.758901774
2014-8-5 10:30,391,5.96870756
2014-8-5 14:30,538,6.28785856
2014-8-5 18:30,506,6.226536669
2014-8-5 22:30,500,6.214608098
2014-8-6 2:30,497,6.208590026
2014-8-6 6:30,440,6.086774727
2014-8-6 10:30,554,6.317164687
2014-8-6 14:30,558,6.324358962
2014-8-6 18:30,487,6.188264123
2014-8-6 22:30,468,6.148468296
2014-8-7 2:30,544,6.298949247
2014-8-7 6:30,412,6.021023349
2014-8-7 10:30,439,6.084499413
2014-8-7 14:30,403,5.998936562
2014-8-7 18:30,465,6.142037406
2014-8-7 22:30,427,6.056784013
2014-8-8 2:30,311,5.739792912
2014-8-8 6:30,215,5.370638028
2014-8-8 10:30,299,5.700443573
2014-8-8 14:30,407,6.008813185
2014-8-8 18:30,378,5.934894196
2014-8-8 22:30,450,6.109247583
2014-8-9 2:30,390,5.966146739
2014-8-9 6:30,318,5.762051383
2014-8-9 10:30,374,5.924255797
2014-8-9 14:30,401,5.993961427
2014-8-9 18:30,344,5.840641657
2014-8-9 22:30,522,6.257667588
2014-8-10 2:30,348,5.85220248
2014-8-10 6:30,383,5.948034989
2014-8-10 10:30,476,6.165417854
2014-8-10 14:30,487,6.188264123
2014-8-10 18:30,583,6.368187186
2014-8-10 22:30,871,6.769641977
2014-8-11 2:30,880,6.779921907
2014-8-11 6:30,967,6.874198495
2014-8-11 10:30,977,6.884486652
2014-8-11 14:30,1098,7.001245622
2014-8-11 18:30,1194,7.085064294
2014-8-11 22:30,1069,6.974478911
2014-8-12 2:30,1010,6.91770561
2014-8-12 6:30,1162,7.057897937
2014-8-12 10:30,1186,7.07834158
2014-8-12 14:30,1501,7.313886832
2014-8-12 18:30,1262,7.140453043
2014-8-12 22:30,1170,7.064759028
2014-8-13 2:30,1180,7.073269717
2014-8-13 6:30,1197,7.087573706
2014-8-13 10:30,1215,7.102499356
2014-8-13 14:30,941,6.84694314
2014-8-13 18:30,892,6.793466133
2014-8-13 22:30,923,6.827629235
2014-8-14 2:30,721,6.580639137
2014-8-14 6:30,778,6.656726524
2014-8-14 10:30,912,6.81563999
2014-8-14 14:30,899,6.801283034
2014-8-14 18:30,1008,6.915723449
2014-8-14 22:30,988,6.895682698
2014-8-15 2:30,463,6.137727054
2014-8-15 6:30,1136,7.035268599
2014-8-15 10:30,1374,7.225481473
2014-8-15 14:30,1344,7.203405521
2014-8-15 18:30,1113,7.014814351
2014-8-15 22:30,978,6.88550967
2014-8-16 2:30,701,6.552507887
2014-8-16 6:30,870,6.768493212
2014-8-16 10:30,708,6.562444094
